Professor	Institution	Subject	Source
John A. Czepiel	NYU Stern School of Business	Marketing	NYU Stern Faculty
Ian D'Souza	NYU Stern School of Business	Finance	NYU Stern Faculty
Aswath Damodaran	NYU Stern School of Business	Finance	NYU Stern Faculty
Susan Davis	NYU Stern School of Business	Business and Society	NYU Stern Faculty
Andre de Souza	NYU Stern School of Business	Finance	NYU Stern Faculty
Marc DeBevoise	NYU Stern School of Business	Entertainment, Media and Technology	NYU Stern Faculty
Leonard DeLuca	NYU Stern School of Business	Entertainment, Media and Technology	NYU Stern Faculty
Paul DeNicola	NYU Stern School of Business	Business and Society	NYU Stern Faculty
Tommaso Denti	NYU Stern School of Business	Economics	NYU Stern Faculty
Rohit S. Deo	NYU Stern School of Business	Technology, Operations, and Statistics	NYU Stern Faculty
Kathleen DeRose	NYU Stern School of Business	Finance	NYU Stern Faculty
Mira Dewji	NYU Stern School of Business	Business and Society	NYU Stern Faculty
Vasant Dhar	NYU Stern School of Business	Technology, Operations, and Statistics	NYU Stern Faculty
Joseph Di Salvo	NYU Stern School of Business	Business and Society	NYU Stern Faculty
Naomi Diamant	NYU Stern School of Business	Management Communication	NYU Stern Faculty
Michael Dickstein	NYU Stern School of Business	Economics	NYU Stern Faculty
Lindsey M. Dietschi	NYU Stern School of Business	Management Communication	NYU Stern Faculty
Robert DiYanni	NYU Stern School of Business	Management Communication	NYU Stern Faculty
Bernard S. Donefer	NYU Stern School of Business	Technology, Operations, and Statistics	NYU Stern Faculty
Alex K. Dontoh	NYU Stern School of Business	Accounting	NYU Stern Faculty
Sinziana Dorobantu	NYU Stern School of Business	Management and Organizations	NYU Stern Faculty
Amanda Dos Santos	NYU Stern School of Business	Finance	NYU Stern Faculty
Yiwei Dou	NYU Stern School of Business	Accounting	NYU Stern Faculty
Francisco Drohojowski	NYU Stern School of Business	Finance	NYU Stern Faculty
Larry Dryer	NYU Stern School of Business	Accounting	NYU Stern Faculty
Yaqi Duan	NYU Stern School of Business	Technology, Operations, and Statistics	NYU Stern Faculty
Radhika Duggal	NYU Stern School of Business	Marketing	NYU Stern Faculty
Roger L.M. Dunbar	NYU Stern School of Business	Management and Organizations	NYU Stern Faculty
Joachim Eberhardt	NYU Stern School of Business	Marketing	NYU Stern Faculty
Nicholas S. Economides	NYU Stern School of Business	Economics	NYU Stern Faculty
Jamyn Edis	NYU Stern School of Business	Marketing	NYU Stern Faculty
J.P. Eggers	NYU Stern School of Business	Management and Organizations	NYU Stern Faculty
Chisara Ehiemere	NYU Stern School of Business	Center for Sustainable Business	NYU Stern Faculty
David Ellner	NYU Stern School of Business	Marketing	NYU Stern Faculty
Edwin J. Elton	NYU Stern School of Business	Finance	NYU Stern Faculty
Niklas Engbom	NYU Stern School of Business	Economics	NYU Stern Faculty
Robert F. Engle	NYU Stern School of Business	Finance	NYU Stern Faculty
TÃ¼lin Erdem	NYU Stern School of Business	Marketing	NYU Stern Faculty
David Eyzenberg	NYU Stern School of Business	Finance	NYU Stern Faculty
Gary Faber	NYU Stern School of Business	Entertainment, Media and Technology	NYU Stern Faculty
Frank Fabozzi	NYU Stern School of Business	Finance	NYU Stern Faculty
Leon Falk	NYU Stern School of Business	Entertainment, Media and Technology	NYU Stern Faculty
Kingchih Fan	NYU Stern School of Business	Management and Organizations	NYU Stern Faculty
Christina H.Y. Fang	NYU Stern School of Business	Management and Organizations	NYU Stern Faculty
Michael J. Feldman	NYU Stern School of Business	Technology, Operations, and Statistics	NYU Stern Faculty
Stephen C. Figlewski	NYU Stern School of Business	Finance	NYU Stern Faculty
James Finch	NYU Stern School of Business	Finance	NYU Stern Faculty
Steve Finkel	NYU Stern School of Business	Finance	NYU Stern Faculty
Andrew Foley	NYU Stern School of Business	Management and Organizations	NYU Stern Faculty
Vincent Fontana	NYU Stern School of Business	Management Communication	NYU Stern Faculty
Cynthia Franklin	NYU Stern School of Business	Entrepreneurship	NYU Stern Faculty
Gary E. Fraser	NYU Stern School of Business	Business and Society	NYU Stern Faculty
Andrea Frazzini	NYU Stern School of Business	Finance	NYU Stern Faculty
